,gene_symbol,myAUC,myDiff,power,cluster #
0,CALB1,0.966,3.615047,0.466,1
1,SLC4A3,0.963,3.448571,0.463,1
2,TPM3,0.965,3.151521,0.465,1
3,SEPT4,0.964,2.939258,0.464,1
4,VIM,0.944,2.937992,0.444,1
5,SEPT7,0.968,2.808893,0.468,1
6,1500016L03RIK,0.896,2.777389,0.396,1
7,LHX1,0.862,2.524691,0.362,1
8,ATP1B1,0.913,2.520540,0.413,1
9,BAI1,0.855,2.451809,0.355,1
10,CD47,0.904,2.425913,0.404,1
11,TPM3-RS7,0.850,2.340003,0.350,1
12,SNHG11,0.906,2.329016,0.406,1
13,PCSK1N,0.910,2.295309,0.410,1
14,C1QL1,0.863,2.257023,0.363,1
15,PPP1R1A,0.872,2.200677,0.372,1
16,NEBL,0.840,2.187973,0.340,1
17,MAGED1,0.901,2.143543,0.401,1
18,GNAS,0.936,2.121058,0.436,1
19,PCBD1,0.837,2.100263,0.337,1
20,TMEFF2,0.837,2.087888,0.337,1
21,SMARCA4,0.907,2.073006,0.407,1
22,LRRC4,0.833,2.057230,0.333,1
23,UTRN,0.803,1.995075,0.303,1
24,ADRA2A,0.813,1.993091,0.313,1
25,TFAP2B,0.899,1.986766,0.399,1
26,MYO6,0.860,1.972649,0.360,1
27,NDRG4,0.882,1.970533,0.382,1
28,GNG2,0.825,1.959108,0.325,1
29,TMEM132A,0.816,1.954705,0.316,1
30,GM16551,0.799,1.945718,0.299,1
31,ONECUT2,0.807,1.931103,0.307,1
32,NDRG1,0.906,1.920706,0.406,1
33,A330050F15RIK,0.804,1.915932,0.304,1
34,TKT,0.855,1.910653,0.355,1
35,COL27A1,0.726,1.883251,0.226,1
36,SGK1,0.821,1.876982,0.321,1
37,FAM126A,0.802,1.858034,0.302,1
38,WNK4,0.784,1.841538,0.284,1
39,TAGLN3,0.815,1.782407,0.315,1
40,SLC12A2,0.803,1.768314,0.303,1
41,SLC4A5,0.781,1.760906,0.281,1
42,LSAMP,0.829,1.738595,0.329,1
43,SYT2,0.779,1.713377,0.279,1
44,LY6E,0.747,1.701416,0.247,1
45,STMN2,0.827,1.697169,0.327,1
46,LMO1,0.769,1.657498,0.269,1
47,SEPT8,0.784,1.654456,0.284,1
48,PROX1,0.846,1.646287,0.346,1
49,CHGB,0.841,1.628412,0.341,1
50,NPY,0.737,1.627193,0.237,1
51,GALNT18,0.765,1.620340,0.265,1
52,ZEB2,0.793,1.616501,0.293,1
53,SOWAHA,0.752,1.605413,0.252,1
54,LIMA1,0.773,1.599290,0.273,1
55,THRSP,0.758,1.592738,0.258,1
56,MEGF11,0.765,1.587717,0.265,1
57,UCHL1,0.809,1.585799,0.309,1
58,F2R,0.742,1.585087,0.242,1
59,RCN2,0.798,1.581440,0.298,1
60,VWC2,0.763,1.571960,0.263,1
61,PCSK6,0.735,1.571878,0.235,1
62,ITGB5,0.745,1.557512,0.245,1
63,APP,0.822,1.550700,0.322,1
64,TUBB2A,0.817,1.540466,0.317,1
65,BC030476,0.750,1.535140,0.250,1
66,CDC42EP4,0.754,1.512842,0.254,1
67,PTPRO,0.748,1.502980,0.248,1
68,RGS3,0.746,1.501006,0.246,1
69,2410066E13RIK,0.768,1.487613,0.268,1
70,WFDC10,0.718,1.485101,0.218,1
71,ANK2,0.855,1.477172,0.355,1
72,CTTNBP2,0.741,1.474312,0.241,1
73,FAM124A,0.721,1.474108,0.221,1
74,TNR,0.729,1.463381,0.229,1
75,RBFOX2,0.768,1.456189,0.268,1
76,SPARCL1,0.767,1.446874,0.267,1
77,THSD7A,0.783,1.441073,0.283,1
78,PACSIN1,0.799,1.440395,0.299,1
79,VAT1L,0.751,1.429302,0.251,1
80,SYT11,0.786,1.425350,0.286,1
81,AKAP12,0.739,1.424278,0.239,1
82,ABHD10,0.763,1.411246,0.263,1
83,PTPRT,0.729,1.406432,0.229,1
84,RCAN2,0.754,1.405642,0.254,1
85,KIF3A,0.793,1.398151,0.293,1
86,LRP11,0.758,1.397326,0.258,1
87,RTN1,0.801,1.393281,0.301,1
88,FKBP3,0.807,1.383785,0.307,1
89,NEFL,0.814,1.374162,0.314,1
90,CD59A,0.753,1.372191,0.253,1
91,CDH4,0.748,1.371678,0.248,1
92,TMOD1,0.746,1.367990,0.246,1
93,FAIM2,0.751,1.367737,0.251,1
94,CTNNA2,0.739,1.362929,0.239,1
95,SEPT6,0.737,1.357596,0.237,1
96,MAB21L2,0.751,1.352143,0.251,1
97,MSI2,0.844,1.351412,0.344,1
98,ONECUT1,0.723,1.348846,0.223,1
99,ANGPT2,0.716,1.342637,0.216,1
100,THSD7B,0.709,1.318613,0.209,1
101,SNAP25,0.905,1.316286,0.405,1
102,NEFM,0.766,1.311134,0.266,1
103,SCD2,0.753,1.296970,0.253,1
104,FAM84B,0.734,1.296355,0.234,1
105,MGARP,0.888,1.277813,0.388,1
106,APPL2,0.758,1.261116,0.258,1
107,DNER,0.752,1.256005,0.252,1
108,PFKFB3,0.706,1.250256,0.206,1
109,MT1,0.729,1.246724,0.229,1
110,LMO4,0.742,1.245222,0.242,1
111,ZFP804A,0.746,1.241753,0.246,1
112,RABEP1,0.771,1.228045,0.271,1
113,OSBPL1A,0.729,1.227105,0.229,1
114,YWHAG,0.763,1.225112,0.263,1
115,PDE3A,0.702,1.219989,0.202,1
116,CACNG3,0.717,1.219146,0.217,1
117,REEP5,0.751,1.204753,0.251,1
118,KLF13,0.706,1.196781,0.206,1
119,TMX4,0.753,1.186779,0.253,1
120,SNCG,0.712,1.184574,0.212,1
121,SNRPN,0.732,1.180677,0.232,1
122,SLC24A2,0.705,1.172493,0.205,1
123,GNAI1,0.726,1.153326,0.226,1
124,MLLT11,0.733,1.153193,0.233,1
125,DST,0.742,1.150327,0.242,1
126,ADARB1,0.742,1.147777,0.242,1
127,ANKRD29,0.706,1.145796,0.206,1
128,ST8SIA3,0.703,1.129373,0.203,1
129,PLCB4,0.765,1.116768,0.265,1
130,BEX2,0.762,1.114780,0.262,1
131,FAM115A,0.746,1.114026,0.246,1
